danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_uri,duration_ms,time_signature,key_mode,track_name,album_name,artist
0.689,0.694,F#,-5.83,minor,0.027,0.257,0,0.148,0.482,99.039,47BBI51FKFwOMlIiX6m8ya,213307,4,F# minor,I Want It That Way,Millennium,Backstreet Boys
0.541,0.703,C,-5.573,major,0.102,0.0218,0,0.0964,0.238,94.858,79Mjfhh393dZdAsTvUFDR6,215724,4,C major,Don't Go Breaking My Heart,Don't Go Breaking My Heart,Backstreet Boys
0.775,0.816,C,-5.534,major,0.0281,0.164,0,0.126,0.753,98.219,1qMTqzU9Uy8z7EzzaiwgsD,214333,4,C major,As Long as You Love Me,Backstreet Boys,Backstreet Boys
0.575,0.786,A,-4.353,major,0.0296,0.252,0,0.159,0.518,96.102,2u2w0HS7Rk6EO5UuuekYfO,230093,4,A major,Shape of My Heart,Black & Blue,Backstreet Boys
0.661,0.973,C,-2.994,minor,0.037,0.11,1.74e-5,0.617,0.75,108.037,6sbXGUn9V9ZaLwLdOfpKRE,232827,4,C minor,Larger Than Life,Millennium,Backstreet Boys
0.596,0.854,G,-5.114,minor,0.463,0.0169,0,0.124,0.152,120.274,55S2PQgSMYAhgoTCcGCDfw,203418,4,G minor,Youngblood,Youngblood,5 Seconds of Summer
0.608,0.873,C,-4.928,major,0.0424,0.00748,0,0.196,0.589,98.009,2Pvr8rYuh5J8V7QglJhH6W,173073,4,C major,Want You Back,Want You Back,5 Seconds of Summer
0.558,0.491,D,-5.246,major,0.0309,0.0292,0,0.212,0.11,101.131,0dIOvducp7ujHTqj66cQ3X,237248,4,D major,Amnesia,5 Seconds Of Summer,5 Seconds of Summer
0.566,0.96,G#,-3.449,major,0.063,0.00306,3.58e-5,0.0395,0.885,149.977,4PCVZGch6Q57RVAcai9L8u,169936,4,G# major,Don't Stop,5 Seconds Of Summer,5 Seconds of Summer
0.666,0.903,E,-4.82,major,0.0308,0.00207,0,0.11,0.883,118.034,2G2EVFuJDHIkxilPBeXnDp,216454,4,E major,She's Kinda Hot,Sounds Good Feels Good (Deluxe),5 Seconds of Summer
0.51,0.847,B,-4.263,minor,0.034,1.58e-4,0,0.085,0.551,153.941,6UYe99X2ZfDPD6h5S6KnPD,221716,4,B minor,Jet Black Heart,Sounds Good Feels Good (Deluxe),5 Seconds of Summer
0.532,0.917,E,-5.214,major,0.082,0.0129,0,0.119,0.599,141.065,0BO6iWcPj20UGEl224pHWA,206424,4,E major,Good Girls,5 Seconds Of Summer,5 Seconds of Summer
0.477,0.794,A#,-3.637,major,0.0592,0.00122,0,0.0669,0.705,167.011,4V84hb0KLUwGgLoXfX0YMa,198374,4,A# major,Heartbreak Girl,5 Seconds Of Summer,5 Seconds of Summer
0.63,0.625,F#,-5.088,minor,0.0252,0.231,0,0.0765,0.683,167.998,3BsaRV5QIulYz2lV9WWa8T,234960,4,F# minor,Show Me the Meaning of Being Lonely,Millennium,Backstreet Boys
0.574,0.825,F#,-4.364,major,0.0392,0.0768,0,0.111,0.479,141.962,29qMr89mdYMCeaGSpqkfPA,266853,4,F# major,Drowning,The Essential Backstreet Boys,Backstreet Boys
0.616,0.845,G,-5.609,major,0.0471,0.0367,0,0.183,0.815,121.064,2aCZEkOUjQyi1trrGRcxI0,197133,4,G major,Big Time Rush,Big Time Rush,Big Time Rush
0.568,0.865,F,-3.653,major,0.0486,0.00632,0,0.158,0.55,122.014,1krIwuDavTIZ3ug1Z18Gk5,237947,4,F major,Til I Forget About You,Til I Forget About You,Big Time Rush
0.675,0.762,A,-3.729,minor,0.0468,0.198,0,0.0771,0.702,111.978,6rLYsNxYB1W8pfa2nRHScA,220467,4,A minor,Any Kind of Guy,Any Kind of Guy,Big Time Rush
0.481,0.925,D#,-2.861,major,0.102,0.0194,0,0.12,0.318,143.079,1KKTVzxdyFKdKTWYnTSDES,205760,4,D# major,Halfway There,Halfway There,Big Time Rush
0.523,0.921,B,-3.645,major,0.132,0.0963,0,0.136,0.558,122.983,4pVxvjxukmMk9bYhncOGhU,193e3,4,B major,City Is Ours,City Is Ours,Big Time Rush
0.561,0.579,F,-6.022,minor,0.0243,0.0343,0,0.0673,0.55,74.822,3ZxhEGcEmCuwyBzwqCa7oW,349135,3,F minor,End Of The Road,Cooleyhighharmony - Expanded Edition,Boyz II Men
0.559,0.49,D,-8.06,major,0.0247,0.103,0,0.099,0.202,142.447,7dfl9X38RhIvB3oSmmneq3,236760,3,D major,I'll Make Love To You,II,Boyz II Men
0.633,0.513,G#,-8.246,major,0.0336,0.377,0,0.118,0.185,116.631,4Gmkqn3V7IMTkOmmiX7cbb,329800,4,G# major,On Bended Knee,II,Boyz II Men
0.707,0.942,D,-5.32,major,0.105,0.0057,1e-5,0.177,0.832,114.173,058LC5qOG4VDaa4scqYc6v,235265,4,D major,Motownphilly,Cooleyhighharmony - Expanded Edition,Boyz II Men
0.587,0.369,C,-12.994,major,0.0262,0.462,0,0.079,0.529,89.599,1i1H1aogIEHNLtNLxCxQsF,201387,4,C major,Water Runs Dry,II,Boyz II Men
